Country,Birth_rate,Life_expectancy
Vietnam,1.822,74.8282439
Vanuatu,3.869,70.81948781
Tonga,3.911,72.15065854
Timor-Leste,5.578,61.99985366
Thailand,1.579,73.92765854
Solomon Islands,4.229,67.46519512
Singapore,1.15,81.64146342
Samoa,3.86,72.30639024
Philippines,3.142,68.48431707
Papua New Guinea,3.951,62.44060976
New Zealand,2.16,80.70243902
New Caledonia,2.141,76.30168293
Myanmar,2.002,64.66209756
Mongolia,2.504,68.19497561
Micronesia,3.451,68.76482927
Malaysia,2.635,74.02456098
"Macao SAR, China",1.092,80.77531707
Lao PDR,2.747,67.064
Korea,1.22,80.76195122
Japan,1.39,82.93268293
Indonesia,2.117,68.88965854
"Hong Kong SAR, China",1.108,82.87804878
Guam,2.47,75.99426829
French Polynesia,2.09,75.07687805
Fiji,2.668,69.22582927
Dem. Rep. Korea,2.022,68.53214634
China,1.598,73.27309756
Cambodia,2.581,62.53621951
Brunei,2.042,77.93202439
Australia,1.92,81.69512195
Uzbekistan,2.499,68.001
United Kingdom,1.94,80.40243902
Ukraine,1.445,70.27560976
Turkmenistan,2.399,64.8635122
Turkey,2.088,73.69665854
Tajikistan,3.297,67.25990244
Switzerland,1.5,82.24634146
Sweden,1.98,81.45121951
Spain,1.39,81.62682927
Slovenia,1.57,79.42195122
Slovak Republic,1.4,75.11219512
Serbia,1.4,73.93658537
Russia,1.54,68.80487805
Romania,1.38,73.45853659
Portugal,1.32,79.02682927
Poland,1.38,76.24634146
Norway,1.95,80.99756098
Netherlands,1.79,80.70243902
Montenegro,1.656,74.31109756
Moldova,1.475,68.90370732
Macedonia,1.422,74.61885366
Luxembourg,1.63,80.08780488
Lithuania,1.55,73.26829268
Latvia,1.17,73.48292683
Kyrgyz Republic,2.898,69.36846342
Kosovo,2.2893,69.88439024
Kazakhstan,2.59,68.29536585
Italy,1.4,81.73658537
Ireland,2.07,80.29195122
Iceland,2.2,81.45121951
Hungary,1.25,74.20731707
Greece,1.44,80.38780488
Germany,1.39,79.98780488
Georgia,1.555,73.32734146
France,2,81.36829268
Finland,1.87,79.87073171
Estonia,1.63,75.42926829
Denmark,1.87,79.1
Czech Republic,1.49,77.42439024
Cyprus,1.476,79.38039024
Croatia,1.46,76.47560976
Channel Islands,1.46,79.832
Bulgaria,1.49,73.51219512
Bosnia and Herzegovina,1.148,75.40043902
Belgium,1.84,79.93658537
Belarus,1.44,70.40487805
Azerbaijan,2.3,70.5065122
Austria,1.44,80.38292683
Armenia,1.736,73.78356098
Albania,1.536,76.90095122
Virgin Islands,1.8,79.18943902
Venezuela,2.49,74.12731707
Uruguay,1.9856,76.23682927
Trinidad and Tobago,1.639,69.755
The Bahamas,1.896,75.22212195
Suriname,2.336,70.33531707
St. Vincent and the Grenadines,2.064,72.11253659
St. Lucia,1.98,74.43990244
Puerto Rico,1.797,78.91329268
Peru,2.501,73.76497561
Paraguay,2.954,72.277
Panama,2.484,75.9742439
Nicaragua,2.622,73.72921951
Mexico,2.32,76.68378049
Jamaica,2.329,72.84712195
Honduras,3.139,72.82592683
Haiti,3.34,61.763
Guyana,2.262,69.54914634
Guatemala,3.983,70.82541463
Grenada,2.235,75.66043902
El Salvador,2.25,71.73236585
Ecuador,2.479,75.46229268
Dominican Republic,2.58,73.20002439
Cuba,1.467,78.96414634
Costa Rica,1.848,79.19260976
Colombia,2.1,73.42968293
Chile,1.862,78.88573171
Brazil,1.83,73.09953659
Bolivia,3.348,66.26856098
Belize,2.79,75.83995122
Barbados,1.551,76.57282927
Aruba,1.699,74.97517073
Argentina,2.211,75.63214634
Yemen,5.2,65.03046342
West Bank and Gaza,4.453,72.64368293
United Arab Emirates,1.749,76.57360976
Tunisia,2.04,74.6
Syrian Arab Republic,2.934,75.70256098
Saudi Arabia,2.811,73.85041463
Qatar,2.271,78.09758537
Oman,2.309,73.12460976
Morocco,2.279,71.86463415
Malta,1.38,80.94878049
Libya,2.564,74.75312195
Lebanon,1.8,72.4087561
Kuwait,2.295,74.60473171
Jordan,3.8,73.28965854
Israel,3.03,81.50487805
Iraq,4.702,68.48604878
Iran,1.67,72.75185366
Egypt,2.733,72.97526829
Djibouti,3.75,57.52739024
Bahrain,2.54,75.02382927
Algeria,2.264,72.85253659
United States,2.1,78.24146342
Canada,1.677,80.79780488
Bermuda,1.764,79.28853659
Sri Lanka,2.313,74.72260976
Pakistan,3.423,65.19885366
Nepal,2.727,68.39482927
Maldives,1.752,76.55141463
India,2.625,65.13134146
Bhutan,2.399,66.90885366
Bangladesh,2.245,68.63480488
Afghanistan,6.288,48.28219512
Zimbabwe,3.29,49.86087805
Zambia,6.258,48.45548781
Uganda,6.149,53.61463415
Togo,4.072,56.58870732
The Gambia,4.896,58.16002439
Tanzania,5.544,57.38748781
Swaziland,3.364,48.34280488
Sudan,4.4,61.1082439
South Africa,2.458,52.08148781
Somalia,6.339,50.89553659
Sierra Leone,4.982,47.40219512
Seychelles,2.5,73.03414634
Senegal,4.819,58.95407317
Rwanda,5.371,55.05712195
Nigeria,5.525,51.41002439
Niger,7.063,54.26563415
Namibia,3.217,62.07009756
Mozambique,4.912,49.69692683
Mauritius,1.47,72.96731707
Mauritania,4.533,58.21695122
Mali,6.294,50.95482927
Malawi,5.99,53.46263415
Madagascar,4.651,66.46707317
Liberia,5.238,56.14758537
Lesotho,3.199,47.36507317
Kenya,4.718,56.49707317
Guinea-Bissau,5.063,47.70065854
Guinea,5.246,53.63858537
Ghana,4.17,63.83726829
Gabon,3.25,62.28668293
Ethiopia,4.193,58.71509756
Eritrea,4.453,60.99419512
Equatorial Guinea,5.185,50.84080488
Dem. Rep. Congo,5.775,48.06958537
Congo,4.544,56.96019512
Comoros,4.919,60.62626829
Chad,5.981,49.19482927
Central African Republic,4.631,47.61846342
Cape Verde,2.405,73.77404878
Cameroon,4.487,51.0627561
Burundi,4.338,49.87721951
Burkina Faso,5.85,54.92419512
Botswana,2.75,53.1095122
Benin,5.287,55.58558537
Angola,5.443,50.65365854
